time,data,median,LB,UB
9,17,17,17,17
10,12,8.98759198858714,-0,47.3220245134406
11,25,12.3658822067142,-0,52.2453049061561
12,23,18.6928404154527,-0,60.5407082893345
13,41,27.5570528430153,-0,64.727134620505
14,68,37.3095100848209,-0,76.1701125223742
15,75,52.1029428397013,13.7902648178395,91.184154517871
16,83,69.6083916437953,30.8363879965375,108.170759186106
17,101,91.6126471260994,51.6245445650149,132.497105208241
18,109,120.139179964843,78.4587515126076,159.113769906399
19,152,154.118071508368,113.81973697919,195.618823304876
20,174,193.500261715408,155.840511574697,235.249149731067
21,217,239.24676366092,197.292161688413,279.511336078405
22,295,287.819506610488,247.228039261038,329.102600183838
23,360,339.665804449513,299.519925514387,378.67152359506
24,381,388.407157030042,347.498773815496,429.77831386079
25,439,432.991027671955,392.25876027259,475.496083496008
26,476,467.33559062716,423.650392981304,510.109173645016
27,445,490.371054891695,445.919486088426,533.626070065956
28,525,495.808368139172,446.103401789611,542.644333827081
